category,question,answer
Follow-up,I have created a purchase order. What is the next step in the inbound process?,"Following the creation of a **Purchase Order (PO)**, the next steps in the **Inbound Process** are:

*   Creating an **Advanced Shipment Notice (ASN)**: Pre-registering details of an incoming shipment.
*   **Gate-In**: Recording the arrival of a vehicle at the warehouse facility.
*   **Gate Entry**: Logging the specific shipment details from the vehicle at the entry point.
*   Creating a **Goods Receipt Note (GRN)**: Verifying the quantity and quality of the received items.
*   **Putaway**: Moving the received goods from the receiving area to their final storage locations."
Follow-up,The vehicle has arrived at the facility. What should I do now?,"You should now perform the **Gate-In** process. This involves recording the entry of the vehicle into the facility, capturing details such as the vehicle number, driver information, and shipment details.

Here's how to record a Gate-In:

1.  **Access Gate-In:** Navigate to **Inbound > Gate In**.
2.  **Initiate New Record:** Click the **New Record** button.
3.  **Enter Details:** Provide the **Vehicle Number**, **Shipper Name**, and the **Number of Units** being transported.
4.  **Confirm Gate In:** Click **Confirm** to save the record. A success message will be displayed."
Follow-up,The goods have been verified with a GRN. What's next?,"After the goods have been verified with a **Goods Receipt Note (GRN)**, the next step in the **Inbound Logistics** process is **Putaway**. This involves moving the received goods from the receiving area to their final storage locations."
Follow-up,I have picked all the items for an order. What is the next process?,"After picking all the items for an order, the next process is **Packing**."
Follow-up,The order is packed and the AWB is assigned. What is the final step?,The final step is to confirm and submit the packing details.
Follow-up,I just created a new SKU in the master data. How can I order it from a vendor?,"To order the new SKU from a vendor, you'll need to create a **Purchase Order (PO)**. Here's how to do it manually:

1.  **Access PO Screen:** Navigate to **Inbound > Purchase Order**.
2.  **Initiate New PO:** Click the **New PO** button.
3.  **Enter PO Details:** Select the **Vendor Name**, enter the **PO Number**, and select the **Purchase Order Date**.
4.  **Add Items:** You can add items by scanning or uploading a file.
    *   **Scan Method:** Enter the **Quantity** and select the **SKU**.
    *   **Upload Method:** Click **Download Format**, fill the template, and upload the file.
5.  **Confirm and Save:** Click **Confirm** to finalize the order. Manual POs can only be edited before they are confirmed."
Follow-up,My cycle count shows a discrepancy. What happens now?,"If a cycle count reveals a discrepancy, here's what happens:

1.  **View Discrepancies:** The system will show the found quantity versus the expected quantity, highlighting any excess or missing inventory.
2.  **Submit:** Once the scanning is complete, you click **Confirm & Submit**. The cycle count status then becomes ""To Be Adjusted"".
3.  **Supervisor Action:** A supervisor can then view the cycle count and choose to either **Adjust** the inventory accordingly or **Reject** the count."
Follow-up,I've closed the box during packing. What do I do for the remaining items?,"If a box is full during packing, click **Close Box**. The system will then generate a new **Box ID** for the subsequent items."
Follow-up,I just received a sales return. Where does the inventory show up?,The returned quantities will be displayed in the **Return** category within the **Bin-Wise Inventory** view. This category shows returned quantities that have been received but are awaiting putaway.
Edge Case,Can I change a PO after it has been confirmed?,Manual **Purchase Orders (POs)** can only be edited before they are confirmed.
Edge Case,What happens if an item is not found during picking?,"If an item is not found during picking, the user should handle the exception by tapping the **PNA (Product Not Available)** button and submitting the reason. The **Bin-Wise Inventory** feature will then list these items under the **Missing** category. If the items are later found, they can be reallocated using the **Item Movement** feature."
Edge Case,Can I perform a cycle count on a bin with a blocked item?,"No, a cycle count cannot be performed on a location if it has inventory blocked for an order."
Edge Case,How often does inventory sync with Shopify?,"Inventory is updated from the WMS to Shopify at regular intervals.

*   A complete inventory sync happens twice a day (midnight and noon).
*   An update occurs upon each Putaway of new stock into the warehouse.
*   An update occurs each time an item is moved between an online zone (like ""Good"" or ""SELLABLE"") and an offline zone (like ""Bad"" or ""QUARANTINE"")."
Edge Case,What if I find an item that was marked as Missing/PNA?,"If an item was marked as **PNA (Product Not Available)** during picking and is later found, it can be reallocated using the **Item Movement** feature."
Edge Case,What happens if I reject an LPN detail change in the approval module?,"If you reject an LPN detail change in the **Approvals** module, the original details of the LPN are retained."
Edge Case,Does the WMS handle last-mile delivery?,"Yes, the WMS shares last-mile delivery statuses (like In Transit, Delivered, RTO Delivered) back to Shopify after dispatch."
Edge Case,What if I need to print a label for an item not in the catalogue?,"If you need to print a label for an item not in the catalog, you can use the ""Other"" (Generic) Labels option. Here's how:

1.  **Navigate:** Go to **Tools → Barcode**.
2.  **Select Code Type:** Choose between **QR Code** (default) or **Barcode**.
3.  **Select Label Type:** Choose **Other**.
4.  **Select Input Method:** Choose between **Form** (to type in codes directly) or **Upload**.
    *   **For Upload:** Click **Upload**, then click **Sample Format** to download the template. Fill the file with the codes you want to generate and upload it back into the system.
5.  **Print:** Click the **Print** button to generate the codes from your input."
Vague,what about setup?,"The **Admin/Setup** module is the foundation of the WMS where administrative configurations are performed. This includes managing user roles, system users, and automated email notifications (Automailer)."
Vague,how do returns work?,"The **Returns Management** module handles all processes related to goods being returned to the warehouse. This module is divided into two main processes:

*   **Sales Order Returns:** Managing goods returned by customers.
*   **Purchase Order Returns:** Managing goods being returned to vendors.

Here's how to process a **Sales Return**:

1.  **Navigate:** Go to the **Return** module and select **Sales Return**.
2.  **Create Return:** Click **New Return**.
3.  **Enter Details:** Enter the original Order No, Awb No, Return Type, and other required information.
4.  **Add Items:** Scan the LPN, SKU, and enter the quantity of the returned items. You can also upload items in bulk.
5.  **Inspect and Update:** Inspect the returned goods and perform a QC check.
6.  **Finalize:** Update the inventory to reflect the return (e.g., moving to an inspection zone) and close the request after resolution. If applicable, generate a Credit Note or Replacement Order."
Vague,tell me about orders,"The WMS manages orders through two primary processes:

*   **The Inbound Process:** This process begins with a **Purchase Order (PO)** to a vendor and ends with the goods being stored in their final warehouse location (**Putaway**).
*   **The Outbound Process:** This process starts with a customer's **Sales Order** and concludes with the packed goods being shipped out of the warehouse."
Vague,what happens at the gate?,"The **Inbound Logistics** process includes two gate-related steps:

*   **Gate-In:** This step records the arrival of a vehicle at the warehouse facility.
*   **Gate Entry:** This step involves logging the specific shipment details from the vehicle at the entry point."
Vague,how does inventory move?,"Inventory movement can be performed in two ways:

**1. Bin Movement:** This involves transferring inventory between storage locations.

*   **Via HHT (Bin Consolidation):**
    *   Navigate to Bin Consolidation from the HHT home screen.
    *   Scan the From Bin (source) and To Bin (target) locations.
    *   Scan the item. For a single item, click Submit. For multiple items, toggle the Bulk option, enter the quantity, and then submit.
*   **Via Web:**
    *   Navigate to Inventory → BIN Movement → Item Movement.
    *   **Single Movement:**
        *   Click New Movement.
        *   Select the SKU Number, the From LPN, and the To LPN.
        *   Enter the Quantity and click Confirm & Submit.
    *   **Bulk Movement via Upload:**
        *   Click the Upload button on the Item Movement page.
        *   Click Download Format to get the template.
        *   Fill the template with the SKU, From LPN, To LPN, and Quantity for each movement.
        *   Upload the completed file and click Upload File to finalize.

**2. Manual Replenishment:** The warehouse team can proactively initiate this by clicking the Run Replenishment button, which checks for any items that have fallen below their minimum threshold. For both methods, the user clicks Export to get a printable list of replenishment tasks. The physical stock movement is then performed similarly to a standard item movement."
Vague,explain the approval process,"The **Approvals module** provides a centralized dashboard for reviewing and approving or rejecting changes requested within the WMS. This module is used for actions such as approving updates to LPN inventory details or approving a short dispatch for an order. The approval detail screen shows the current data alongside the proposed updated data, with buttons to **Approve** or **Decline** the change."
